,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
119,Dikson,20,RU,2017-09-08 22:54:43,100,73.51,80.55,37.58,20.96
120,Dingle,80,PH,2017-09-08 22:54:43,100,11.0,122.67,78.08,3.4
121,Divala,92,PA,2017-09-08 22:54:44,100,8.42,-82.72,73.85,3.18
122,Doha,0,QA,2017-09-08 22:00:00,53,25.29,51.53,98.6,3.36
123,Dovers,8,VC,2017-09-08 22:54:44,100,12.88,-61.18,83.57,8.55
124,Dulce Nombre de Culmi,40,HN,2017-09-08 22:00:00,83,15.1,-85.53,75.2,2.06
125,Dunda,0,TZ,2017-09-08 22:54:45,57,-8.12,34.25,68.81,6.76
126,East London,75,ZA,2017-09-08 22:00:00,82,-33.02,27.91,60.8,6.93
127,Edd,44,ER,2017-09-08 22:54:46,53,13.93,41.69,90.23,1.61
128,El Tambo,92,CO,2017-09-08 22:54:46,98,1.42,-77.4,53.15,0.94
129,Ebolowa,88,CM,2017-09-08 22:51:33,94,2.9,11.15,69.44,2.84
130,Emba,0,CY,2017-09-08 22:30:00,50,34.81,32.42,78.8,4.7
131,Emirdag,0,TR,2017-09-08 22:54:47,52,39.02,31.15,66.92,3.06
132,Empangeni,32,ZA,2017-09-08 22:54:47,84,-28.76,31.89,66.74,4.52
133,Evans,1,US,2017-09-08 22:35:00,87,33.53,-82.13,69.8,6.64
134,Ewo,56,CG,2017-09-08 22:54:48,94,-0.87,14.82,72.5,5.3
135,Eyl,32,SO,2017-09-08 22:54:49,70,7.98,49.82,83.93,16.93
136,Farafangana,88,MG,2017-09-08 22:54:49,100,-22.82,47.83,70.43,11.56
137,Faridpur,75,BD,2017-09-08 22:30:00,70,23.6,89.83,89.6,4.7
138,Dalton,0,ZA,2017-09-08 22:54:50,67,-29.34,30.63,60.53,3.18
139,Florence,1,US,2017-09-08 22:35:00,100,34.8,-87.68,64.4,10.45
140,Fort-Shevchenko,0,KZ,2017-09-08 22:54:50,77,44.51,50.26,78.08,4.97
141,Galle,92,LK,2017-09-08 22:54:51,100,6.04,80.22,74.93,11.68
142,Istgah-e Garmsar,0,IR,2017-09-08 22:54:51,30,35.23,52.31,81.14,3.06
143,Gasa,12,BT,2017-09-08 22:54:51,85,27.9,89.73,43.88,0.94
144,Qiryat Gat,75,IL,2017-09-08 22:50:00,69,31.61,34.76,84.2,4.7
145,General Roca,75,AR,2017-09-08 22:00:00,61,-39.03,-67.58,48.2,5.82
146,Georgetown,8,GY,2017-09-08 22:53:03,86,6.8,-58.16,78.26,6.87
147,Gimbi,92,ET,2017-09-08 22:54:53,100,9.17,35.83,62.33,1.83
148,Glasgow,12,GB,2017-09-08 22:20:00,93,55.87,-4.26,51.8,5.82
149,Goderich,0,CA,2017-09-08 22:54:54,84,43.75,-81.72,46.76,6.31
150,Gopalpur,32,IN,2017-09-08 22:54:54,98,19.27,84.92,87.08,13.13
151,Yakovlevo,40,RU,2017-09-08 22:30:00,93,60.29,29.49,51.8,6.71
152,Goya,100,AR,2017-09-08 22:54:55,94,-29.14,-59.26,66.56,10.45
153,Grand Gaube,20,MU,2017-09-08 22:00:00,64,-20.01,57.66,75.2,17.22
154,Grande Riviere Sud Est,20,MU,2017-09-08 22:00:00,64,-20.29,57.78,75.2,17.22
155,Grand-Lahou,88,CI,2017-09-08 22:54:56,97,5.14,-5.02,73.31,4.07
156,Grand-Santi,0,GF,2017-09-08 22:54:56,55,4.25,-54.38,82.76,6.08
157,Great Yarmouth,0,GB,2017-09-08 22:20:00,100,52.61,1.73,48.2,6.93
158,Grindavik,0,IS,2017-09-08 22:30:00,100,63.84,-22.43,42.8,6.93
159,Guapi,92,CO,2017-09-08 22:54:57,100,2.57,-77.89,71.33,2.73
160,Hadejia,0,NG,2017-09-08 22:54:57,90,12.45,10.04,72.5,6.31
161,Halifax,5,CA,2017-09-08 22:00:00,93,44.65,-63.57,53.6,5.82
162,Hambantota,88,LK,2017-09-08 22:54:58,100,6.12,81.12,75.65,14.03
163,Hamilton,20,CA,2017-09-08 22:00:00,87,43.23,-79.95,55.4,8.05
164,Harper,90,LR,2017-09-08 22:00:00,94,4.38,-7.72,75.2,9.55
165,Hartford,1,US,2017-09-08 21:58:00,100,41.76,-72.69,55.4,4.63
166,Havoysund,0,NO,2017-09-08 21:50:00,83,71.0,24.66,41.0,16.11
